word,count,freq,worldfreq
the,92095,0.05418057288624,0.057543993733716
to,49243,0.028970236719009,0.026915348039269
i,41995,0.024706152976358,0.012589254117942
a,38394,0.022587642275849,0.022387211385683
and,37922,0.022309959118215,0.025118864315096
of,35369,0.020807999157538,0.027542287033382
was,24773,0.014574247593364,0.0067608297539198
it,22981,0.013519992893194,0.0089125093813375
in,21680,0.012754599274376,0.019054607179632
that,18541,0.010907888613755,0.010232929922808
her,16842,0.0099083469086275,0.0018620871366629
you,16134,0.0094918221721765,0.0095499258602144
my,15017,0.0088346779198943,0.0035481338923358
he,14890,0.008759962324514,0.0047863009232264
she,14448,0.0084999285201194,0.0016982436524617
with,13723,0.0080734024834993,0.0069183097091894
on,12728,0.0074880322677242,0.008128305161641
had,11538,0.0067879412558927,0.0021379620895022
his,11485,0.0067567607318363,0.0032359365692963
as,11238,0.0066114477234982,0.0060255958607436
but,10113,0.0059495969770188,0.0040738027780411
for,9860,0.0058007540980327,0.01
me,9811,0.005771926821075,0.0032359365692963
said,9490,0.0055830787414129,0.00089125093813375
at,8569,0.0050412435969617,0.0047863009232264
were,8326,0.0048982838357222,0.0022908676527678
out,7577,0.0044576383165106,0.0022387211385683
if,7503,0.0044141032451866,0.0028840315031266
we,7459,0.0043882175271021,0.0030902954325136
one,7325,0.0043093837492992,0.0029512092266664
be,7277,0.0042811447841161,0.0061659500186148
or,7021,0.0041305369698061,0.003388441561392
from,6832,0.0040193460443975,0.0041686938347034
they,6807,0.0040046382500313,0.0031622776601684
could,6784,0.0039911070792144,0.0011748975549395
this,6405,0.0037681369166227,0.0061659500186148
have,6276,0.0036922446976931,0.0048977881936845
up,6075,0.0035739940309887,0.0023442288153199
him,5930,0.0034886888236647,0.0012302687708124
not,5706,0.0033569069861435,0.0050118723362727
them,5540,0.0032592472315519,0.0015135612484362
what,5480,0.003223948525073,0.0023442288153199
there,5308,0.0031227588998334,0.002089296130854
so,4796,0.0028215432712135,0.0030902954325136
like,4777,0.0028103653474952,0.0023988329190195
into,4744,0.0027909510589318,0.0012882495516931
more,4687,0.0027574172877768,0.0021877616239496
would,4438,0.0026109276558894,0.00181970085861
didn't,4414,0.0025968081732978,0.00040738027780411
been,4402,0.002589748432002,0.0018620871366629
no,4402,0.002589748432002,0.0022387211385683
is,4346,0.0025568029726217,0.01122018454302
then,4248,0.0024991484187062,0.0011481536214969
an,3971,0.0023361860571286,0.0034673685045253
get,3898,0.0022932392975793,0.0017782794100389
way,3807,0.0022397029260863,0.00095499258602144
all,3783,0.0022255834434947,0.0032359365692963
i'm,3719,0.0021879314899172,0.0016982436524617
back,3678,0.0021638107071566,0.0010471285480509
do,3630,0.0021355717419735,0.0022908676527678
when,3624,0.0021320418713256,0.0022387211385683
just,3588,0.0021108626474383,0.0025118864315096
down,3473,0.0020432067933537,0.00072443596007499
i'd,3425,0.0020149678281706,0.00020417379446695
your,3388,0.0019932002925086,0.0029512092266664
by,3385,0.0019914353571847,0.004677351412872
about,3357,0.0019749626274945,0.0023442288153199
us,3330,0.001959078209579,0.001
wasn't,3302,0.0019426054798889,0.00016218100973589
people,3276,0.001927309373748,0.0016595869074376
time,3254,0.0019143665147057,0.0018620871366629
don't,3252,0.0019131898911564,0.0015848931924611
can,3198,0.0018814210553254,0.0027542287033382
around,3164,0.0018614184549874,0.00052480746024977
their,3098,0.0018225898778606,0.0021379620895022
only,3035,0.0017855262360577,0.0013489628825917
it's,2985,0.0017561106473253,0.0017782794100389
over,2980,0.0017531690884521,0.001122018454302
than,2949,0.001734931423438,0.0013489628825917
something,2927,0.0017219885643957,0.00060255958607436
some,2899,0.0017055158347056,0.0015135612484362
two,2838,0.001669628816452,0.0012589254117942
know,2795,0.0016443314101421,0.0012589254117942
going,2786,0.0016390366041703,0.00079432823472428
even,2784,0.001637859980621,0.00093325430079699
off,2782,0.0016366833570717,0.00079432823472428
are,2770,0.0016296236157759,0.0053703179637025
through,2750,0.001617857380283,0.00075857757502918
see,2745,0.0016149158214097,0.0012589254117942
other,2697,0.0015866768562266,0.0014791083881682
how,2638,0.0015519664615224,0.0015488166189125
tattletale,2621,0.0015419651613533,3.7153522909717E-8
where,2606,0.0015331404847336,0.001
who,2590,0.0015237274963392,0.0021877616239496
you're,2578,0.0015166677550434,0.00070794578438414
too,2531,0.001489017101635,0.00089125093813375
before,2498,0.0014696028130716,0.00083176377110267
bugs,2443,0.0014372456654659,8.9125093813375E-6
asked,2438,0.0014343041065927,0.00019054607179632
any,2434,0.0014319508594941,0.0010715193052376
enough,2404,0.0014143015062546,0.00032359365692963
power,2369,0.0013937105941419,0.00033113112148259
here,2307,0.0013572352641137,0.00085113803820238
our,2304,0.0013554703287898,0.0012882495516931
hand,2287,0.0013454690286208,0.0002454708915685
think,2276,0.0013389975990996,0.001122018454302
away,2255,0.001326643051832,0.00038904514499428
head,2251,0.0013242898047334,0.00032359365692963
still,2209,0.0012995807101982,0.00079432823472428
made,2207,0.0012984040866489,0.0008128305161641
couldn't,2144,0.0012613404448461,0.00010232929922808
now,2107,0.0012395729091841,0.0014791083881682
little,2047,0.0012042742027052,0.00054954087385762
go,2044,0.0012025092673812,0.0010964781961432
did,2008,0.0011813300434939,0.00089125093813375
good,2000,0.0011766235492967,0.0012882495516931
much,1981,0.0011654456255784,0.00097723722095581
right,1966,0.0011566209489587,0.00089125093813375
make,1939,0.0011407365310432,0.0010964781961432
want,1925,0.0011325001661981,0.0010471285480509
things,1877,0.001104261201015,0.00050118723362727
got,1867,0.0010983780832685,0.00075857757502918
