arc,word,count
01-gestation,group,10
01-gestation,clothes,10
01-gestation,same,9
01-gestation,eye,9
01-gestation,suddenly,9
01-gestation,moved,9
01-gestation,big,9
01-gestation,floor,9
01-gestation,years,9
01-gestation,breath,9
01-gestation,relief,9
01-gestation,came,9
01-gestation,already,9
01-gestation,skin,9
01-gestation,emma,9
01-gestation,fact,9
01-gestation,set,9
01-gestation,high,9
01-gestation,above,9
01-gestation,instead,9
01-gestation,getting,9
01-gestation,needed,9
01-gestation,shape,9
01-gestation,seen,9
01-gestation,east,9
01-gestation,shirt,9
01-gestation,caught,9
01-gestation,until,9
01-gestation,heroes,9
01-gestation,docks,9
01-gestation,minutes,9
01-gestation,making,9
01-gestation,attack,9
01-gestation,gathered,9
01-gestation,else,9
01-gestation,maybe,9
01-gestation,bee,9
01-gestation,called,9
01-gestation,wore,9
01-gestation,light,9
01-gestation,seemed,9
01-gestation,moments,9
01-gestation,afternoon,8
01-gestation,happened,8
01-gestation,name,8
01-gestation,ready,8
01-gestation,sophia,8
01-gestation,managed,8
01-gestation,stop,8
01-gestation,done,8
01-gestation,superhero,8
01-gestation,bought,8
01-gestation,information,8
01-gestation,night,8
01-gestation,onto,8
01-gestation,deep,8
01-gestation,nobody,8
01-gestation,backpack,8
01-gestation,creatures,8
01-gestation,response,8
01-gestation,asked,8
01-gestation,slowly,8
01-gestation,arms,8
01-gestation,doing,8
01-gestation,idea,8
01-gestation,anyone,8
01-gestation,your,8
01-gestation,headed,8
01-gestation,online,8
01-gestation,option,8
01-gestation,brown,8
01-gestation,boss,8
01-gestation,once,8
01-gestation,standing,8
01-gestation,best,8
01-gestation,wards,8
01-gestation,kill,8
01-gestation,least,8
01-gestation,stuff,8
01-gestation,toe,8
01-gestation,town,8
01-gestation,others,8
01-gestation,show,8
01-gestation,many,8
01-gestation,lip,8
01-gestation,decided,8
01-gestation,run,8
01-gestation,phone,8
01-gestation,block,8
01-gestation,directed,8
01-gestation,madison,8
01-gestation,moving,8
01-gestation,moment,8
01-gestation,population,8
01-gestation,dangerous,7
01-gestation,rest,7
01-gestation,bed,7
01-gestation,screamed,7
01-gestation,dogs,7
01-gestation,stayed,7
01-gestation,full,7
01-gestation,matter,7
01-gestation,front,7
01-gestation,held,7
01-gestation,has,7
01-gestation,followed,7
01-gestation,complete,7
01-gestation,watch,7
01-gestation,words,7
01-gestation,feeling,7
01-gestation,oni,7
01-gestation,details,7
01-gestation,cigarette,7
01-gestation,can,7
01-gestation,place,7
01-gestation,struck,7
01-gestation,regent,7
01-gestation,kids,7
01-gestation,halfway,7
01-gestation,ll,7
01-gestation,contents,7
01-gestation,father,7
01-gestation,fuck,7
01-gestation,knees,7
01-gestation,having,7
01-gestation,bug,7
01-gestation,our,7
01-gestation,red,7
01-gestation,lights,7
01-gestation,white,7
01-gestation,its,7
01-gestation,free,7
01-gestation,mr,7
01-gestation,world,7
01-gestation,boys,7
01-gestation,closer,7
01-gestation,pulled,7
01-gestation,lunch,7
01-gestation,visor,7
01-gestation,tonight,7
01-gestation,change,7
01-gestation,story,7
01-gestation,spine,7
01-gestation,shook,6
01-gestation,doubted,6
01-gestation,cape,6
01-gestation,five,6
01-gestation,whistled,6
01-gestation,popular,6
01-gestation,green,6
01-gestation,sat,6
01-gestation,helmet,6
01-gestation,parts,6
01-gestation,burning,6
01-gestation,motorcycle,6
01-gestation,draw,6
01-gestation,spoke,6
01-gestation,glasses,6
01-gestation,attention,6
01-gestation,whole,6
01-gestation,pick,6
01-gestation,silent,6
01-gestation,ones,6
01-gestation,ground,6
01-gestation,smile,6
01-gestation,anger,6
01-gestation,figure,6
01-gestation,everything,6
01-gestation,different,6
01-gestation,m,6
01-gestation,golden,6
01-gestation,corner,6
01-gestation,inside,6
01-gestation,ability,6
01-gestation,frustration,6
01-gestation,lenses,6
01-gestation,vulnerable,6
01-gestation,abb,6
01-gestation,year,6
01-gestation,ago,6
01-gestation,imagine,6
01-gestation,gladly,6
01-gestation,forward,6
01-gestation,several,6
01-gestation,leader,6
01-gestation,leaped,6
01-gestation,along,6
01-gestation,approached,6
01-gestation,alone,6
01-gestation,leaving,6
01-gestation,picked,6
01-gestation,monsters,6
01-gestation,aiming,6
01-gestation,since,6
01-gestation,shoulders,6
01-gestation,skull,6
01-gestation,opened,6
01-gestation,credit,6
01-gestation,options,6
01-gestation,sense,6
01-gestation,news,6
01-gestation,rather,6
01-gestation,raised,6
01-gestation,word,6
01-gestation,nodded,6
01-gestation,began,6
01-gestation,dressed,6
01-gestation,filled,6
01-gestation,taken,6
01-gestation,hear,6
01-gestation,insects,6
01-gestation,nearly,6
01-gestation,old,6
01-gestation,tell,6
01-gestation,aim,6
01-gestation,bite,6
01-gestation,line,6
01-gestation,jumping,6
01-gestation,cell,6
01-gestation,level,6
01-gestation,counted,6
01-gestation,hospital,6
01-gestation,ever,6
01-gestation,close,6
01-gestation,week,6
01-gestation,number,6
01-gestation,case,6
01-gestation,aware,6
01-gestation,waited,6
01-gestation,stings,6
01-gestation,watching,6
01-gestation,worst,6
01-gestation,metallic,6
01-gestation,watched,6
01-gestation,hot,6
01-gestation,easy,6
01-gestation,training,6
01-gestation,why,6
01-gestation,heart,6
01-gestation,ignited,6
01-gestation,gotten,6
01-gestation,ocean,6
01-gestation,fear,6
01-gestation,hey,6
01-gestation,angry,6
01-gestation,angle,5
01-gestation,both,5
01-gestation,scales,5
01-gestation,falling,5
01-gestation,villains,5
01-gestation,hundred,5
01-gestation,north,5
01-gestation,coal,5
01-gestation,faces,5
01-gestation,lived,5
01-gestation,clear,5
01-gestation,wave,5
01-gestation,sink,5
01-gestation,gun,5
01-gestation,great,5
01-gestation,seconds,5
01-gestation,holding,5
01-gestation,need,5
01-gestation,rolled,5
01-gestation,stared,5
01-gestation,wasp,5
01-gestation,purple,5
01-gestation,mind,5
01-gestation,thin,5
01-gestation,pause,5
01-gestation,blinked,5
01-gestation,weapon,5
01-gestation,died,5
01-gestation,evening,5
01-gestation,flying,5
01-gestation,yellow,5
01-gestation,spider,5
01-gestation,knife,5
01-gestation,joined,5
01-gestation,anyways,5
01-gestation,superhuman,5
01-gestation,stronger,5
01-gestation,months,5
01-gestation,grew,5
01-gestation,sections,5
01-gestation,control,5
01-gestation,superheroes,5
01-gestation,fresh,5
01-gestation,turn,5
01-gestation,guns,5
01-gestation,chances,5
01-gestation,window,5
01-gestation,normal,5
01-gestation,gloom,5
01-gestation,sounded,5
01-gestation,ants,5
01-gestation,figured,5
01-gestation,areas,5
01-gestation,dust,5
01-gestation,belt,5
01-gestation,chain,5
01-gestation,chest,5
01-gestation,impact,5
01-gestation,tube,5
01-gestation,working,5
01-gestation,skintight,5
01-gestation,supposed,5
01-gestation,states,5
01-gestation,general,5
01-gestation,sunday,5
01-gestation,ascended,5
01-gestation,costumes,5
01-gestation,scene,5
01-gestation,crouched,5
01-gestation,stick,5
01-gestation,walking,5
01-gestation,gravel,5
01-gestation,planning,5
01-gestation,project,5
01-gestation,leap,5
01-gestation,brought,5
01-gestation,presence,5
01-gestation,grape,5
01-gestation,early,5
01-gestation,team,5
01-gestation,liked,5
01-gestation,thinking,5
01-gestation,glanced,5
01-gestation,arrived,5
01-gestation,given,5
01-gestation,herself,5
01-gestation,throat,5
01-gestation,leaned,5
01-gestation,wall,5
01-gestation,conversation,5
01-gestation,person,5
01-gestation,stomach,5
01-gestation,four,5
01-gestation,empty,5
01-gestation,ve,5
01-gestation,late,5
01-gestation,bullies,5
01-gestation,plastic,5
01-gestation,join,5
01-gestation,roar,5
01-gestation,start,5
01-gestation,blue,5
01-gestation,barely,5
01-gestation,water,5
01-gestation,gonna,5
01-gestation,read,5
01-gestation,nothing,5
01-gestation,self,5
01-gestation,dozen,5
01-gestation,fell,5
01-gestation,trio,5
01-gestation,brief,5
01-gestation,wondered,4
01-gestation,gray,4
01-gestation,thirty,4
01-gestation,store,4
01-gestation,action,4
01-gestation,hellhound,4
01-gestation,besides,4
01-gestation,hauled,4
01-gestation,straight,4
01-gestation,wings,4
01-gestation,particular,4
01-gestation,subject,4
01-gestation,taking,4
01-gestation,shrug,4
01-gestation,alive,4
01-gestation,soaked,4
01-gestation,human,4
01-gestation,knock,4
01-gestation,strong,4
01-gestation,flunky,4
01-gestation,teams,4
01-gestation,knowledge,4
01-gestation,themselves,4
01-gestation,useful,4
01-gestation,warm,4
01-gestation,create,4
01-gestation,neck,4
01-gestation,incident,4
01-gestation,crowd,4
01-gestation,boots,4
01-gestation,mentioned,4
01-gestation,brother,4
01-gestation,vantage,4
01-gestation,route,4
01-gestation,rooftop,4
01-gestation,yeah,4
01-gestation,safety,4
01-gestation,surface,4
01-gestation,cover,4
01-gestation,heat,4
01-gestation,arrive,4
01-gestation,wished,4
01-gestation,letting,4
01-gestation,quiet,4
01-gestation,minute,4
01-gestation,shaped,4
01-gestation,crawling,4
01-gestation,keeping,4
01-gestation,sky,4
01-gestation,tall,4
01-gestation,thumb,4
